nome,produto,instituicao_display_name,prazo_original,meses_restantes,tipo_grupo,vagas_totais,vagas_disponiveis,data_vencimento,data_assembleia,participa_assembleia,taxa_administracao_total,taxa_administracao_antecipada,fundo_reserva,seguro_vida,redutor,lance_embutido,lance_fixo,media_lance,lance_minimo,lance_maximo,lances_contemplados
AF291,Automóvel,Porto,72,60,Em Andamento,180,180,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,55.20,0.93,93.19,7
AF290,Automóvel,Porto,72,60,Em Andamento,84,84,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,52.41,0.94,93.81,10
AF289,Automóvel,Porto,72,60,Em Andamento,114,114,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.64,0.94,93.81,9
AF287,Automóvel,Porto,50,38,Em Andamento,42,42,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,49.43,0.91,90.75,16
AF286,Automóvel,Porto,72,59,Em Andamento,30,30,15/08/2025,21/08/2025,12,18.00,0,2.00,0.038,20.00,15.00,0,55.32,0.90,89.76,8
AF285,Automóvel,Porto,80,67,Em Andamento,96,96,15/08/2025,21/08/2025,12,16.00,0,2.00,0.038,20.00,25.00,0,58.53,0.92,91.92,8
AF283,Automóvel,Porto,72,58,Em Andamento,80,80,15/08/2025,21/08/2025,13,18.00,0,2.00,0.038,20.00,25.00,0,50.92,0.90,90.22,9
AF282,Automóvel,Porto,90,77,Em Andamento,104,104,15/08/2025,21/08/2025,12,15.00,0,2.00,0.038,20.00,25.00,0,61.20,0.93,92.89,3
AF281,Automóvel,Porto,80,66,Em Andamento,66,66,15/08/2025,21/08/2025,13,16.00,0,2.00,0.038,20.00,25.00,0,55.92,0.92,91.92,13
AF280,Automóvel,Porto,50,36,Em Andamento,89,89,15/08/2025,21/08/2025,13,18.00,0,2.00,0.038,20.00,25.00,0,47.31,0.85,85.09,17
AF279,Automóvel,Porto,72,58,Em Andamento,150,150,15/08/2025,21/08/2025,13,18.00,0,2.00,0.038,20.00,25.00,0,52.58,0.90,90.22,6
AF278,Automóvel,Porto,72,57,Em Andamento,117,117,15/08/2025,21/08/2025,14,18.00,0,2.00,0.038,20.00,30.00,0,53.17,0.92,91.62,13
AF277,Automóvel,Porto,72,56,Em Andamento,146,146,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,53.05,0.90,89.90,15
AF276,Automóvel,Porto,90,78,Em Andamento,28,28,15/08/2025,21/08/2025,11,15.00,0,2.00,0.038,20.00,30.00,0,61.26,0.95,95.07,5
AF275,Automóvel,Porto,90,78,Em Andamento,96,96,15/08/2025,21/08/2025,11,15.00,0,2.00,0.038,20.00,30.00,0,62.88,0.95,94.58,6
AF274,Automóvel,Porto,90,78,Em Andamento,55,55,15/08/2025,21/08/2025,11,15.00,0,2.00,0.038,20.00,30.00,0,62.21,0.95,95.08,4
AF272,Automóvel,Porto,90,74,Em Andamento,1,1,15/08/2025,21/08/2025,15,15.00,0,2.00,0.038,20.00,30.00,0,58.93,0.92,91.98,9
AF271,Automóvel,Porto,80,68,Em Andamento,82,82,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,57.93,0.94,93.86,10
