Grupo,Produto,Tipo,Prazo original,Meses restantes,TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Redutor Parcela,Lance Embutido,Lance Fixo,Lance Mínimo,Lance Máximo,Média Lance Últimos 6 Meses,Lances Contemplados Último Mês,Vagas Disponíveis
I0336,Imóvel,Em andamento,200,180,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.62,61.97,6,38
I0335,Imóvel,Em andamento,200,179,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.36,61.05,2,56
I0334,Imóvel,Em andamento,200,179,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.4,59.36,3,18
I0333,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.44,58.76,5,32
I0330,Imóvel,Em andamento,200,178,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.15,60.92,7,47
I0329,Imóvel,Em andamento,200,179,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.4,60.21,7,46
I0328,Imóvel,Em andamento,200,179,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.66,58.0,8,24
I0327,Imóvel,Em andamento,200,180,17.5,2.0,2.0,0.038,25.0,30.0,0.0,0.96,95.59,61.87,2,189
I0326,Imóvel,Em andamento,200,179,17.5,2.0,2.0,0.038,25.0,30.0,0.0,0.95,95.34,61.24,3,231
I0325,Imóvel,Em andamento,200,178,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.7,63.02,5,32
I0324,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.44,62.23,4,75
I0323,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.44,58.64,2,90
I0322,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.44,60.33,4,125
I0321,Imóvel,Em andamento,200,178,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.15,61.68,1,23
I0320,Imóvel,Em andamento,200,179,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.36,60.7,1,30
